Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,Locked,Source_ID
622,ced,deganadiwsga,ᏕᎦᎾᏗᏫᏍᎦ,verb (v.t.),,,he/she is crossing,,degạ́nạdị́wsga,1st person singular with animate/ inanimate object:dejinadiwsga^ᏕᏂᎾᏗᏫᏍᎦ^dejị́nạdị́wsga|3rd person singular non-progressive remote past tense:dunadiwsv’i^ᏚᎾᏗᏫᏒᎢ^dùnạdị́wsv̌’i|3rd person singular present habitual:deganadiwsgo’i^ᏕᎦᎾᏗᏫᏍᎪᎢ^degạ́nạdị́wsgó’i|imperative with animate/ inanimate direct objects:tinadihwi^ᏘᎾᏗᏫ^tịnạ́dìhwi|3rd person singular infinitive:junadihwisdi^ᏧᎾᏗᏫᏍᏗ^junạdìhwị́sdi,,False,632.1
623,ced,deganojahlvsga,ᏕᎦᏃᏣᏢᏍᎦ,verb (v.t.),,,he/she is advertising it,,degạ́nojạhlṿ́sga,1st person singular with animate/ inanimate object:dejinoja’lvsga^ᏕᏥᏃᏣᎸᏍᎦ^dejị́nojạ’lṿ́sga|3rd person singular non-progressive remote past tense:dunojahlanv’i^ᏚᏃᏣᏝᏅᎢ^dùnojạhlạ́nv́’i|3rd person singular present habitual:deganojahlvsgo’i^ᏕᎦᏃᏣᏢᏍᎪᎢ^degạ́nojạhlṿ́sgọ́’i|imperative with animate/ inanimate direct objects:tinojahlvga^ᏘᏃᏣᏢᎦ^tịnójạhlv̀ga|3rd person singular infinitive:junojahldi^ᏧᏃᏣᎸᏗ^junojạhldi,,False,633.1
624,ced,degasohga,ᏕᎦᏐᎦ,verb (v.t.),,,he/she is crossing it,,degásọ́hga,1st person singular with animate/ inanimate object:dejisohga^ᏕᏥᏐᎦ^dejîsọ́hga|3rd person singular non-progressive remote past tense:duwasohjv’i^ᏚᏩᏐᏨᎢ^dùwasọ́hjv́’i|3rd person singular present habitual:degasohgo’i^ᏚᎦᏐᎪᎢ^degásọ́hgọ́’i|imperative with animate/ inanimate direct objects:tisohgi^ᏘᏐᎩ^tisọ́hgi|3rd person singular infinitive:juwasohisdi^ᏧᏩᏐᎯᏍᏗ^jụwasọ́hị́sdi,,False,634.1
625,ced,degetvsga,ᏕᎨᏛᏍᎦ,verb (v.t.),,,he/she is enduring it,,degétṿsga,1st person singular with animate/ inanimate object:dege’dvsga^ᏕᎨᏛᏍᎦ^degẹ́’dṿsga|3rd person singular non-progressive remote past tense:duwetinv’i^ᏚᏪᏘᏅᎢ^dùwetị́nv́’i|3rd person singular present habitual:degetvsgo’i^ᏕᎨᏛᏍᎪᎢ^degétṿ́sgọ́’i|imperative with animate/ inanimate direct objects:tetvga^ᏖᏛᎦ^tetv̂ga|3rd person singular infinitive:juwetdi^ᏧᏪᏘᏗ^jụwetdi,,False,635.1
626,ced,degosisiha,ᏕᎪᏏᏏᎭ,verb (v.t.),,,he/she is explaining it,,degôsisị́ha,1st person singular with animate/ inanimate object:degosisiha^ᏕᎪᏏᏏᎭ^degôsisị́ha|3rd person singular non-progressive remote past tense:duwosisahnv’i^ᏚᏬᏏᏌᏅᎢ^dùwósisạhnv̌’i|3rd person singular present habitual:degosisisgo’i^ᏕᎪᏏᏏᏍᎪᎢ^degôsisǐsgọ́’i|imperative with animate/ inanimate direct objects:tosisa^ᏙᏏᏌ^tósisa|3rd person singular infinitive:juwosisohdi^ᏧᏬᏏᏐᏗ^jụwòsǐsọ́hdi,,False,636.1
627,ced,degukdiha,ᏕᎫᎪᏗᎭ,verb (v.t.),,,he/she is deciding,,degúkdị́ha,1st person singular with animate/ inanimate object:degugodiha^ᏕᎫᎪᏗᎭ^degúgòdị́ha|3rd person singular non-progressive remote past tense:duwuktanv’i^ᏚᏭᎪᏔᏅᎢ^dùwuktạ́nv́’i|3rd person singular present habitual:degukdisgo’i^ᏕᎫᎪᏗᏍᎪᎢ^degúkdǐsgọ́’i|imperative with animate/ inanimate direct objects:tukda^ᏚᎪᏓ^tǔkda|3rd person singular infinitive:juwukdohdi^ᏧᏭᎪᏙᏗ^jụwukdọ́hdi,,False,637.1
628,ced,degvdiye’a,ᏕᎬᏗᏰᎠ,verb (v.t.),,,he/she is washing,,degv́dǐyẹ́’a,1st person singular with animate/ inanimate object:degvdiye’a^ᏕᎬᏗᏰᎠ^degv́dǐyẹ́’a|3rd person singular non-progressive remote past tense:duwadiye’v’i^ᏚᏩᏗᏰᎥᎢ^dùwadǐyẹ́’v̌’i|3rd person singular present habitual:degvdiyesgo’i^ᏕᎬᏗᏰᏍᎪᎢ^degv́dǐyêsgó’i|imperative with animate/ inanimate direct objects:tvdiya^ᏛᏗᏯ^tvdíya|3rd person singular infinitive:juwadiyedi^ᏧᏩᏗᏰᏗ^jụwadǐyêdi,,False,638.1
629,ced,degvtohi’a,ᏕᎬᏙᎯᎠ,verb (v.t.),,,he/she is shelling,,degv́tọhí’a,1st person singular with animate/ inanimate object:degvtohi’a^ᏕᎬᏙᎯᎠ^degv̂tọhí’a|3rd person singular non-progressive remote past tense:duwvtohisv’i^ᏚᏮᏙᎯᏒᎢ^dùwvtọhísv̌’i|3rd person singular present habitual:degvtohisgo’i^ᏕᎬᏙᎯᏍᎪᎢ^degv́tọhísgó’i|imperative with animate/ inanimate direct objects:tvtohi^ᏛᏙᎯ^tvtọ́hi|3rd person singular infinitive:juwvtohisdi^ᏧᏮᏙᎯᏍᏗ^jụwvtọhìsdi,,False,639.1
630,ced,dehaluyi,ᏕᎭᎷᏱ,noun,,,June,,dehạlǔyi,,,False,640.1
631,ced,dekalihgwadega,ᏕᎧᎵᏆᏕᎦ,verb (v.t.),,,he/she is turning him/her over,,dekạ́lịhgwạdéga,1st person singular with animate/ inanimate object:dejilihgwadega^ᏕᏥᎵᏆᏕᎦ^dejîlịhgwạdéga|3rd person singular non-progressive remote past tense:duhlihgwadinvsv’i^ᏚᏟᏆᏗᏅᏒᎢ^dùhlịhgwạdǐnv̂sv̌’i|3rd person singular present habitual:dekalihgwadego’i^ᏕᎧᎵᏆᏕᎪᎢ^dekạ́lịhgwạdégó’i|imperative with animate direct objects:tilihgwaduga^ᏘᎵᏆᏚᎦ^tîlịhgwạdûga|imperative with animate/ inanimate direct objects:tihlihgwaduga^ᏘᏟᏆᏚᎦ^tịhlị́hgwạdùga|3rd person singular infinitive:juhlihgwadinvdi^ᏧᏟᏆᏗᏅᏗ^juhlịhgwạdǐnv̂di,,False,641.1
